rank,name,source,installCount,trustScore,verified,benchmarkScore,url,description
77,senior-frontend,/davila7/claude-code-templates,88,10,True,82,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/development/senior-frontend/SKILL.md,"Comprehensive frontend development skill for building modern, performant web applications using ReactJS, NextJS, TypeScript, Tailwind CSS. Includes component scaffolding, performance optimization, bundle analysis, and UI best practices. Use when developing frontend features, optimizing performance, implementing UI/UX designs, managing state, or reviewing frontend code."
78,shadcn,/blencorp/claude-code-kit,88,7.5,True,96,https://raw.githubusercontent.com/blencorp/claude-code-kit/refs/heads/main/cli/kits/shadcn/skills/shadcn/SKILL.md,"shadcn/ui component library patterns with Radix UI primitives and Tailwind CSS. Use when creating tables, forms, dialogs, cards, buttons, or any UI component using shadcn/ui, installing shadcn components, or styling with shadcn patterns."
79,auth-implementation-patterns,/wshobson/agents,87,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/developer-essentials/skills/auth-implementation-patterns/SKILL.md,"Master authentication and authorization patterns including JWT, OAuth2, session management, and RBAC to build secure, scalable access control systems. Use when implementing auth systems, securing APIs, or debugging security issues."
80,nuxt-ui,/onmax/nuxt-skills,87,9.6,True,82,https://raw.githubusercontent.com/onmax/nuxt-skills/refs/heads/main/skills/nuxt-ui/SKILL.md,"Use when building styled UI with @nuxt/ui v4 components - create forms with validation, implement data tables with sorting, build modal dialogs and overlays, configure Tailwind Variants theming. Use vue skill for raw component patterns, reka-ui for headless primitives."
81,context7,/intellectronica/agent-skills,87,,False,100,https://raw.githubusercontent.com/intellectronica/agent-skills/refs/heads/main/skills/context7/SKILL.md,"Retrieve up-to-date documentation for software libraries, frameworks, and components via the Context7 API. This skill should be used when looking up documentation for any programming library or framework, finding code examples for specific APIs or features, verifying correct usage of library functions, or obtaining current information about library APIs that may have changed since training."
82,react-web,/alinaqi/claude-bootstrap,86,8.7,True,72,https://raw.githubusercontent.com/alinaqi/claude-bootstrap/refs/heads/main/skills/react-web/SKILL.md,"React web development with hooks, React Query, Zustand"
83,nodejs-backend-patterns,/wshobson/agents,85,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/javascript-typescript/skills/nodejs-backend-patterns/SKILL.md,"Build production-ready Node.js backend services with Express/Fastify, implementing middleware patterns, error handling, authentication, database integration, and API design best practices. Use when creating Node.js servers, REST APIs, GraphQL backends, or microservices architectures."
84,coding-standards,/affaan-m/everything-claude-code,85,9.4,True,84,https://raw.githubusercontent.com/affaan-m/everything-claude-code/refs/heads/main/.agents/skills/coding-standards/SKILL.md,"Universal coding standards, best practices, and patterns for TypeScript, JavaScript, React, and Node.js development."
85,python-performance-optimization,/wshobson/agents,84,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/python-development/skills/python-performance-optimization/SKILL.md,"Profile and optimize Python code using cProfile, memory profilers, and performance best practices. Use when debugging slow Python code, optimizing bottlenecks, or improving application performance."
86,Bun Next.js,/secondsky/claude-skills,84,6.5,True,,https://raw.githubusercontent.com/secondsky/claude-skills/refs/heads/main/plugins/bun/skills/bun-nextjs/SKILL.md,"This skill should be used when the user asks about ""Next.js with Bun"", ""Bun and Next"", ""running Next.js on Bun"", ""Next.js development with Bun"", ""create-next-app with Bun"", or building Next.js applications using Bun as the runtime."
87,senior-data-scientist,/alirezarezvani/claude-skills,84,8.9,True,32,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-data-scientist/SKILL.md,"World-class data science skill for statistical modeling, experimentation, causal inference, and advanced analytics. Expertise in Python (NumPy, Pandas, Scikit-learn), R, SQL, statistical methods, A/B testing, time series, and business intelligence. Includes experiment design, feature engineering, model evaluation, and stakeholder communication. Use when designing experiments, building predictive models, performing causal analysis, or driving data-driven decisions."
88,nuxt,/onmax/nuxt-skills,83,9.6,True,98,https://raw.githubusercontent.com/onmax/nuxt-skills/refs/heads/main/skills/nuxt/SKILL.md,"Use when working on Nuxt 4+ projects - provides server routes, file-based routing, middleware patterns, Nuxt-specific composables, and configuration with latest docs. Covers h3 v1 helpers (validation, WebSocket, SSE) and nitropack v2 patterns. Updated for Nuxt 4.3+."
89,react:components,/google-labs-code/stitch-skills,83,6.8,True,98,https://raw.githubusercontent.com/google-labs-code/stitch-skills/refs/heads/main/skills/react-components/SKILL.md,Converts Stitch designs into modular Vite and React components using system-level networking and AST-based validation.
90,stripe-integration,/wshobson/agents,82,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/payment-processing/skills/stripe-integration/SKILL.md,"Implement Stripe payment processing for robust, PCI-compliant payment flows including checkout, subscriptions, and webhooks. Use when integrating Stripe payments, building subscription systems, or implementing secure checkout flows."
91,mobile-ios-design,/wshobson/agents,82,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/ui-design/skills/mobile-ios-design/SKILL.md,"Master iOS Human Interface Guidelines and SwiftUI patterns for building native iOS apps. Use when designing iOS interfaces, implementing SwiftUI views, or ensuring apps follow Apple's design principles."
92,tailwind-v4-shadcn,/jezweb/claude-skills,82,9.7,True,72,https://raw.githubusercontent.com/jezweb/claude-skills/refs/heads/main/skills/tailwind-v4-shadcn/SKILL.md,"Set up Tailwind v4 with shadcn/ui using @theme inline pattern and CSS variable architecture. Four-step pattern: CSS variables, Tailwind mapping, base styles, automatic dark mode. Prevents 8 documented errors. Use when initializing React projects with Tailwind v4, or fixing colors not working, tw-animate-css errors, @theme inline dark mode conflicts, @apply breaking, v3 migration issues."
93,ui-dev,/gabrielantonyxaviour/Velox,81,,False,100,https://raw.githubusercontent.com/gabrielantonyxaviour/Velox/refs/heads/main/.claude/skills/ui-dev/SKILL.md,"Build UI components with dark theme, shadcn/ui, animations, and responsive design"
94,react-dev,/softaworks/agent-toolkit,79,6,True,,https://raw.githubusercontent.com/softaworks/agent-toolkit/refs/heads/main/skills/react-dev/SKILL.md,"This skill should be used when building React components with TypeScript, typing hooks, handling events, or when React TypeScript, React 19, Server Components are mentioned. Covers type-safe patterns for React 18-19 including generic components, proper event typing, and routing integration (TanStack Router, React Router)."
95,native-data-fetching,/expo/skills,79,10,True,80,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-app-design/skills/native-data-fetching/SKILL.md,"Use when implementing or debugging ANY network request, API call, or data fetching. Covers fetch API, React Query, SWR, error handling, caching, offline support, and Expo Router data loaders (useLoaderData)."
96,ux-researcher-designer,/alirezarezvani/claude-skills,79,8.9,True,82,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/product-team/ux-researcher-designer/SKILL.md,"UX research and design toolkit for Senior UX Designer/Researcher including data-driven persona generation, journey mapping, usability testing frameworks, and research synthesis. Use for user research, persona creation, journey mapping, and design validation."
97,senior-qa,/alirezarezvani/claude-skills,78,8.9,True,82,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-qa/SKILL.md,"This skill should be used when the user asks to ""generate tests"", ""write unit tests"", ""analyze test coverage"", ""scaffold E2E tests"", ""set up Playwright"", ""configure Jest"", ""implement testing patterns"", or ""improve test quality"". Use for React/Next.js testing with Jest, React Testing Library, and Playwright."
98,nextjs,/NaimalArain13/Hackathon-II_The-Evolution-of-Todo,78,,False,98,https://raw.githubusercontent.com/NaimalArain13/Hackathon-II_The-Evolution-of-Todo/refs/heads/master/.claude/skills/nextjs/SKILL.md,"Next.js 16 patterns for App Router, Server/Client Components, proxy.ts authentication, data fetching, caching, and React Server Components. Use when building Next.js applications with modern patterns."
99,brainstorming,/obra/superpowers,77,9.5,True,82,https://raw.githubusercontent.com/obra/superpowers/refs/heads/main/skills/brainstorming/SKILL.md,"You MUST use this before any creative work - creating features, building components, adding functionality, or modifying behavior. Explores user intent, requirements and design before implementation."
100,terraform-module-library,/wshobson/agents,76,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/cloud-infrastructure/skills/terraform-module-library/SKILL.md,"Build reusable Terraform modules for AWS, Azure, and GCP infrastructure following infrastructure-as-code best practices. Use when creating infrastructure modules, standardizing cloud provisioning, or implementing reusable IaC components."
101,async-python-patterns,/wshobson/agents,76,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/python-development/skills/async-python-patterns/SKILL.md,"Master Python asyncio, concurrent programming, and async/await patterns for high-performance applications. Use when building async APIs, concurrent systems, or I/O-bound applications requiring non-blocking operations."
102,nextjs-expert,/VoTruongDanh/Sentiment,75,,False,72,https://raw.githubusercontent.com/VoTruongDanh/Sentiment/refs/heads/main/.agent/skills/nextjs-expert/SKILL.md,"Next.js framework expert specializing in App Router, Server Components, performance optimization, data fetching patterns, and full-stack development. Use this skill for Next.js routing issues, hydration errors, build problems, or deployment challenges."
103,tanstack-query,/jezweb/claude-skills,74,9.7,True,75,https://raw.githubusercontent.com/jezweb/claude-skills/refs/heads/main/skills/tanstack-query/SKILL.md,"Manage server state in React with TanStack Query v5. Covers useMutationState, simplified optimistic updates, throwOnError, network mode (offline/PWA), and infiniteQueryOptions. Use when setting up data fetching, fixing v4→v5 migration errors (object syntax, gcTime, isPending, keepPreviousData), or debugging SSR/hydration issues with streaming server components."
104,upgrading-expo,/expo/skills,74,10,True,72,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/upgrading-expo/skills/upgrading-expo/SKILL.md,Guidelines for upgrading Expo SDK versions and fixing dependency issues
105,web-component-design,/wshobson/agents,73,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/ui-design/skills/web-component-design/SKILL.md,"Master React, Vue, and Svelte component patterns including CSS-in-JS, composition strategies, and reusable component architecture. Use when building UI component libraries, designing component APIs, or implementing frontend design systems."
106,nuxt-better-auth,/onmax/nuxt-skills,73,9.6,True,95,https://raw.githubusercontent.com/onmax/nuxt-skills/refs/heads/main/skills/nuxt-better-auth/SKILL.md,"Use when implementing auth in Nuxt apps with @onmax/nuxt-better-auth - provides useUserSession composable, server auth helpers, route protection, and Better Auth plugins integration."
107,premium-ui-systems,/njrini99-code/helmv3,73,2.3,,,https://raw.githubusercontent.com/njrini99-code/helmv3/refs/heads/main/.claude/skills/premium-ui-systems/SKILL.md,"Comprehensive system for building exceptional, production-ready UIs that avoid generic ""vibe-coded"" aesthetics. Use when building any web interface (dashboards, landing pages, SaaS products, React components, HTML/CSS layouts) to create distinctive, systematically premium designs. Covers hierarchy-first methodology, systematic design tokens, glassmorphism patterns, component libraries, creative direction, and avoiding AI-generated template aesthetics. Applies to Next.js, React, HTML/CSS, Tailwind, or any frontend stack."
108,vite,/antfu/skills,73,9.9,True,78,https://raw.githubusercontent.com/antfu/skills/refs/heads/main/skills/vite/SKILL.md,"Vite build tool configuration, plugin API, SSR, and Vite 8 Rolldown migration. Use when working with Vite projects, vite.config.ts, Vite plugins, or building libraries/SSR apps with Vite."
109,monorepo-management,/wshobson/agents,72,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/developer-essentials/skills/monorepo-management/SKILL.md,"Master monorepo management with Turborepo, Nx, and pnpm workspaces to build efficient, scalable multi-package repositories with optimized builds and dependency management. Use when setting up monorepos, optimizing builds, or managing shared dependencies."
110,e2e-testing-patterns,/wshobson/agents,72,9.5,True,78,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/developer-essentials/skills/e2e-testing-patterns/SKILL.md,"Master end-to-end testing with Playwright and Cypress to build reliable test suites that catch bugs, improve confidence, and enable fast deployment. Use when implementing E2E tests, debugging flaky tests, or establishing testing standards."
111,frontend-testing,/langgenius/dify,72,8.9,True,85,https://raw.githubusercontent.com/langgenius/dify/refs/heads/main/.agents/skills/frontend-testing/SKILL.md,"Generate Vitest + React Testing Library tests for Dify frontend components, hooks, and utilities. Triggers on testing, spec files, coverage, Vitest, RTL, unit tests, integration tests, or write/review test requests."
112,use-dom,/expo/skills,72,10,True,98,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-app-design/skills/use-dom/SKILL.md,Use Expo DOM components to run web code in a webview on native and as-is on web. Migrate web code to native incrementally.
113,uv-package-manager,/wshobson/agents,71,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/python-development/skills/uv-package-manager/SKILL.md,"Master the uv package manager for fast Python dependency management, virtual environments, and modern Python project workflows. Use when setting up Python projects, managing dependencies, or optimizing Python development workflows with uv."
114,rust-async-patterns,/wshobson/agents,71,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/systems-programming/skills/rust-async-patterns/SKILL.md,"Master Rust async programming with Tokio, async traits, error handling, and concurrent patterns. Use when building async Rust applications, implementing concurrent systems, or debugging async code."
115,nextjs,/secondsky/claude-skills,71,6.5,True,,https://raw.githubusercontent.com/secondsky/claude-skills/refs/heads/main/plugins/nextjs/skills/nextjs/SKILL.md,"Next.js 16 with App Router, Server Components, Server Actions, Cache Components. Use for React 19.2 apps, SSR, or encountering async params, proxy.ts migration, use cache errors."
116,Skill Development,/anthropics/claude-code,71,8.8,True,78,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/plugin-dev/skills/skill-development/SKILL.md,"This skill should be used when the user wants to ""create a skill"", ""add a skill to plugin"", ""write a new skill"", ""improve skill description"", ""organize skill content"", or needs guidance on skill structure, progressive disclosure, or skill development best practices for Claude Code plugins."
117,app-store-optimization,/alirezarezvani/claude-skills,71,8.9,True,90,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/marketing-skill/app-store-optimization/SKILL.md,"App Store Optimization toolkit for researching keywords, optimizing metadata, and tracking mobile app performance on Apple App Store and Google Play Store."
118,gsap,/martinholovsky/claude-skills-generator,68,7.7,False,72,https://raw.githubusercontent.com/martinholovsky/claude-skills-generator/refs/heads/main/skills/gsap/SKILL.md,GSAP animations for JARVIS HUD transitions and effects
119,MCP Integration,/anthropics/claude-code,65,8.8,True,78,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/plugin-dev/skills/mcp-integration/SKILL.md,"This skill should be used when the user asks to ""add MCP server"", ""integrate MCP"", ""configure MCP in plugin"", ""use .mcp.json"", ""set up Model Context Protocol"", ""connect external service"", mentions ""${CLAUDE_PLUGIN_ROOT} with MCP"", or discusses MCP server types (SSE, stdio, HTTP, WebSocket). Provides comprehensive guidance for integrating Model Context Protocol servers into Claude Code plugins for external tool and service integration."
120,react-19,/Gentleman-Programming/Gentleman-Skills,63,,False,,https://raw.githubusercontent.com/Gentleman-Programming/Gentleman-Skills/refs/heads/main/curated/react-19/SKILL.md,React 19 patterns with React Compiler. Trigger: When writing React components - no useMemo/useCallback needed.
121,expo-dev-client,/expo/skills,62,10,True,78,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-app-design/skills/expo-dev-client/SKILL.md,Build and distribute Expo development clients locally or via TestFlight
122,mobile-android-design,/wshobson/agents,61,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/ui-design/skills/mobile-android-design/SKILL.md,"Master Material Design 3 and Jetpack Compose patterns for building native Android apps. Use when designing Android interfaces, implementing Compose UI, or following Google's Material Design guidelines."
123,Convex Best Practices,/waynesutton/convexskills,61,9.6,True,,https://raw.githubusercontent.com/waynesutton/convexskills/refs/heads/main/skills/convex-best-practices/SKILL.md,"Guidelines for building production-ready Convex apps covering function organization, query patterns, validation, TypeScript usage, error handling, and the Zen of Convex design philosophy"
124,documentation-lookup,/upstash/context7,61,8.5,,,https://raw.githubusercontent.com/upstash/context7/refs/heads/master/plugins/claude/context7/skills/documentation-lookup/SKILL.md,"This skill should be used when the user asks about libraries, frameworks, API references, or needs code examples. Activates for setup questions, code generation involving libraries, or mentions of specific frameworks like React, Vue, Next.js, Prisma, Supabase, etc."
125,context7-docs-lookup,/upstash/context7,61,8.5,True,,https://raw.githubusercontent.com/upstash/context7/refs/heads/master/plugins/cursor/context7/skills/context7-docs-lookup/SKILL.md,"Use Context7 to fetch up-to-date library documentation. Activates when the user asks about libraries, frameworks, API references, or needs code examples — especially for setup questions, code generation, or mentions of specific frameworks like React, Vue, Next.js, Prisma, Supabase, etc."
126,gemini,/openclaw/openclaw,61,7.8,True,100,https://raw.githubusercontent.com/openclaw/openclaw/refs/heads/main/skills/gemini/SKILL.md,"Gemini CLI for one-shot Q&A, summaries, and generation."
127,vitest,/antfu/skills,60,9.9,True,82,https://raw.githubusercontent.com/antfu/skills/refs/heads/main/skills/vitest/SKILL.md,"Vitest fast unit testing framework powered by Vite with Jest-compatible API. Use when writing tests, mocking, configuring coverage, or working with test filtering and fixtures."
128,tech-stack-evaluator,/alirezarezvani/claude-skills,60,8.9,True,97,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/tech-stack-evaluator/SKILL.md,"Technology stack evaluation and comparison with TCO analysis, security assessment, and ecosystem health scoring. Use when comparing frameworks, evaluating technology stacks, calculating total cost of ownership, assessing migration paths, or analyzing ecosystem viability."
129,nextjs-15,/Gentleman-Programming/Gentleman-Skills,60,,False,,https://raw.githubusercontent.com/Gentleman-Programming/Gentleman-Skills/refs/heads/main/curated/nextjs-15/SKILL.md,"Next.js 15 App Router patterns. Trigger: When working with Next.js - routing, Server Actions, data fetching."
130,expo-api-routes,/expo/skills,59,10,True,100,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-app-design/skills/expo-api-routes/SKILL.md,Guidelines for creating API routes in Expo Router with EAS Hosting
131,senior-architect,/davila7/claude-code-templates,59,10,True,73,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/development/senior-architect/SKILL.md,"Comprehensive software architecture skill for designing scalable, maintainable systems using ReactJS, NextJS, NodeJS, Express, React Native, Swift, Kotlin, Flutter, Postgres, GraphQL, Go, Python. Includes architecture diagram generation, system design patterns, tech stack decision frameworks, and dependency analysis. Use when designing system architecture, making technical decisions, creating architecture diagrams, evaluating trade-offs, or defining integration patterns."
132,tdd-guide,/alirezarezvani/claude-skills,59,8.9,True,95,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/tdd-guide/SKILL.md,"Test-driven development workflow with test generation, coverage analysis, and multi-framework support"
133,go-concurrency-patterns,/wshobson/agents,58,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/systems-programming/skills/go-concurrency-patterns/SKILL.md,"Master Go concurrency with goroutines, channels, sync primitives, and context. Use when building concurrent Go applications, implementing worker pools, or debugging race conditions."
134,better-auth,/mrgoonie/claudekit-skills,58,,False,78,https://raw.githubusercontent.com/mrgoonie/claudekit-skills/refs/heads/main/.claude/skills/better-auth/SKILL.md,"Implement authentication and authorization with Better Auth - a framework-agnostic TypeScript authentication framework. Features include email/password authentication with verification, OAuth providers (Google, GitHub, Discord, etc.), two-factor authentication (TOTP, SMS), passkeys/WebAuthn support, session management, role-based access control (RBAC), rate limiting, and database adapters. Use when adding authentication to applications, implementing OAuth flows, setting up 2FA/MFA, managing user sessions, configuring authorization rules, or building secure authentication systems for web applications."
135,artifacts-builder,/davila7/claude-code-templates,58,10,True,99,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/development/artifacts-builder/SKILL.md,"Suite of tools for creating elaborate, multi-component claude.ai HTML artifacts using modern frontend web technologies (React, Tailwind CSS, shadcn/ui). Use for complex artifacts requiring state management, routing, or shadcn/ui components - not for simple single-file HTML/JSX artifacts."
136,product-manager-toolkit,/alirezarezvani/claude-skills,58,8.9,True,95,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/product-team/product-manager-toolkit/SKILL.md,"Comprehensive toolkit for product managers including RICE prioritization, customer interview analysis, PRD templates, discovery frameworks, and go-to-market strategies. Use for feature prioritization, user research synthesis, requirement documentation, and product strategy development."
137,ceo-advisor,/alirezarezvani/claude-skills,58,8.9,True,62,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/c-level-advisor/ceo-advisor/SKILL.md,"Executive leadership guidance for strategic decision-making, organizational development, and stakeholder management. Includes strategy analyzer, financial scenario modeling, board governance frameworks, and investor relations playbooks. Use when planning strategy, preparing board presentations, managing investors, developing organizational culture, making executive decisions, or when user mentions CEO, strategic planning, board meetings, investor updates, organizational leadership, or executive strategy."
138,epic-database,/rubenpenap/epic-stack-agent-skills,57,7.1,True,82,https://raw.githubusercontent.com/rubenpenap/epic-stack-agent-skills/refs/heads/main/skills/epic-database/SKILL.md,"Guide on Prisma, SQLite, and LiteFS for Epic Stack"
139,senior-ml-engineer,/alirezarezvani/claude-skills,57,8.9,True,72,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-ml-engineer/SKILL.md,"ML engineering skill for productionizing models, building MLOps pipelines, and integrating LLMs. Covers model deployment, feature stores, drift monitoring, RAG systems, and cost optimization."
140,cto-advisor,/alirezarezvani/claude-skills,57,8.9,True,100,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/c-level-advisor/cto-advisor/SKILL.md,"Technical leadership guidance for engineering teams, architecture decisions, and technology strategy. Includes tech debt analyzer, team scaling calculator, engineering metrics frameworks, technology evaluation tools, and ADR templates. Use when assessing technical debt, scaling engineering teams, evaluating technologies, making architecture decisions, establishing engineering metrics, or when user mentions CTO, tech debt, technical debt, team scaling, architecture decisions, technology evaluation, engineering metrics, DORA metrics, or technology strategy."
141,prisma,/blencorp/claude-code-kit,56,7.5,True,82,https://raw.githubusercontent.com/blencorp/claude-code-kit/refs/heads/main/cli/kits/prisma/skills/prisma/SKILL.md,"Prisma ORM patterns including Prisma Client usage, queries, mutations, relations, transactions, and schema management. Use when working with Prisma database operations or schema definitions."
142,memory-safety-patterns,/wshobson/agents,55,9.5,True,78,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/systems-programming/skills/memory-safety-patterns/SKILL.md,"Implement memory-safe programming with RAII, ownership, smart pointers, and resource management across Rust, C++, and C. Use when writing safe systems code, managing resources, or preventing memory bugs."
143,react-best-practices,/0xBigBoss/claude-code,55,,False,,https://raw.githubusercontent.com/0xBigBoss/claude-code/refs/heads/main/.claude/skills/react-best-practices/SKILL.md,"Provides React patterns for hooks, effects, refs, and component design. Covers escape hatches, anti-patterns, and correct effect usage. Must use when reading or writing React components (.tsx, .jsx files with React imports)."
144,systematic-debugging,/obra/superpowers,54,9.5,True,100,https://raw.githubusercontent.com/obra/superpowers/refs/heads/main/skills/systematic-debugging/SKILL.md,"Use when encountering any bug, test failure, or unexpected behavior, before proposing fixes"
145,expo-cicd-workflows,/expo/skills,54,10,True,100,https://raw.githubusercontent.com/expo/skills/refs/heads/main/plugins/expo-deployment/skills/expo-cicd-workflows/SKILL.md,"Helps understand and write EAS workflow YAML files for Expo projects. Use this skill when the user asks about CI/CD or workflows in an Expo or EAS context, mentions .eas/workflows/, or wants help with EAS build pipelines or deployment automation."
146,better-auth,/binhmuc/autobot-review,54,,False,100,https://raw.githubusercontent.com/binhmuc/autobot-review/refs/heads/main/.claude/skills/better-auth/SKILL.md,"Implement authentication and authorization with Better Auth - a framework-agnostic TypeScript authentication framework. Features include email/password authentication with verification, OAuth providers (Google, GitHub, Discord, etc.), two-factor authentication (TOTP, SMS), passkeys/WebAuthn support, session management, role-based access control (RBAC), rate limiting, and database adapters. Use when adding authentication to applications, implementing OAuth flows, setting up 2FA/MFA, managing user sessions, configuring authorization rules, or building secure authentication systems for web applications."
147,senior-computer-vision,/alirezarezvani/claude-skills,54,8.9,True,78,https://raw.githubusercontent.com/alirezarezvani/claude-skills/refs/heads/main/engineering-team/senior-computer-vision/SKILL.md,"Computer vision engineering skill for object detection, image segmentation, and visual AI systems. Covers CNN and Vision Transformer architectures, YOLO/Faster R-CNN/DETR detection, Mask R-CNN/SAM segmentation, and production deployment with ONNX/TensorRT. Includes PyTorch, torchvision, Ultralytics, Detectron2, and MMDetection frameworks. Use when building detection pipelines, training custom models, optimizing inference, or deploying vision systems."
148,flutter,/alinaqi/claude-bootstrap,54,8.7,True,97,https://raw.githubusercontent.com/alinaqi/claude-bootstrap/refs/heads/main/skills/flutter/SKILL.md,"Flutter development with Riverpod state management, Freezed, go_router, and mocktail testing"
149,stripe-best-practices,/stripe/ai,53,9,True,98,https://raw.githubusercontent.com/stripe/ai/refs/heads/main/skills/stripe-best-practices/SKILL.md,Best practices for building Stripe integrations
150,tailwind-patterns,/jezweb/claude-skills,53,9.7,True,97,https://raw.githubusercontent.com/jezweb/claude-skills/refs/heads/main/skills/tailwind-patterns/SKILL.md,"Production-ready Tailwind CSS patterns for common website components: responsive layouts, cards, navigation, forms, buttons, and typography. Includes spacing scale, breakpoints, mobile-first patterns, and dark mode support. Use when building UI components, creating landing pages, styling forms, implementing navigation, or fixing responsive layouts."
151,react-testing,/citypaul/dotfiles,53,9.5,True,95,https://raw.githubusercontent.com/citypaul/dotfiles/refs/heads/main/claude/.claude/skills/react-testing/SKILL.md,"React Testing Library patterns for testing React components, hooks, and context. Use when testing React applications."
152,sql-optimization-patterns,/wshobson/agents,52,9.5,True,,https://raw.githubusercontent.com/wshobson/agents/refs/heads/main/plugins/developer-essentials/skills/sql-optimization-patterns/SKILL.md,"Master SQL query optimization, indexing strategies, and EXPLAIN analysis to dramatically improve database performance and eliminate slow queries. Use when debugging slow queries, designing database schemas, or optimizing application performance."
153,ai-elements,/vercel/ai-elements,52,10,,,https://raw.githubusercontent.com/vercel/ai-elements/refs/heads/main/skills/ai-elements/SKILL.md,"Create new AI chat interface components for the ai-elements library following established composable patterns, shadcn/ui integration, and Vercel AI SDK conventions. Use when creating new components in packages/elements/src or when the user asks to add a new component to ai-elements."
154,react-native-components,/shipshitdev/library,52,,,,https://raw.githubusercontent.com/shipshitdev/library/refs/heads/master/skills/react-native-components/SKILL.md,"Master React Native 0.79.5 components, styling, performance optimization, and mobile UI best practices with real-world examples"
155,instructor,/davila7/claude-code-templates,51,10,True,,https://raw.githubusercontent.com/davila7/claude-code-templates/refs/heads/main/cli-tool/components/skills/ai-research/prompt-engineering-instructor/SKILL.md,"Extract structured data from LLM responses with Pydantic validation, retry failed extractions automatically, parse complex JSON with type safety, and stream partial results with Instructor - battle-tested structured output library"
156,Command Development,/anthropics/claude-code,51,8.8,True,72,https://raw.githubusercontent.com/anthropics/claude-code/refs/heads/main/plugins/plugin-dev/skills/command-development/SKILL.md,"This skill should be used when the user asks to ""create a slash command"", ""add a command"", ""write a custom command"", ""define command arguments"", ""use command frontmatter"", ""organize commands"", ""create command with file references"", ""interactive command"", ""use AskUserQuestion in command"", or needs guidance on slash command structure, YAML frontmatter fields, dynamic arguments, bash execution in commands, user interaction patterns, or command development best practices for Claude Code."
157,tailwind-best-practices,/mastra-ai/mastra,50,7.5,True,99,https://raw.githubusercontent.com/mastra-ai/mastra/refs/heads/main/.claude/skills/tailwind-best-practices/SKILL.md,"Tailwind CSS styling guidelines for Mastra Playground UI. This skill should be used when writing, reviewing, or refactoring styling code in packages/playground-ui and packages/playground to ensure design system consistency. Triggers on tasks involving Tailwind classes, component styling, or design tokens."
158,better-auth,/jezweb/claude-skills,50,9.7,True,72,https://raw.githubusercontent.com/jezweb/claude-skills/refs/heads/main/skills/better-auth/SKILL.md,"Self-hosted auth for TypeScript/Cloudflare Workers with social auth, 2FA, passkeys, organizations, RBAC, and 15+ plugins. Requires Drizzle ORM or Kysely for D1 (no direct adapter). Self-hosted alternative to Clerk/Auth.js. Use when: self-hosting auth on D1, building OAuth provider, multi-tenant SaaS, or troubleshooting D1 adapter errors, session caching, rate limits, Expo crashes, additionalFields bugs."
